Trans Closed - Time,Voided Line,Voided Qty + Final Qty,Voided Qty,Final Qty,Voided Value,Voided Item,Voided Item Cat,First Tendered Item,First Tendered Item Cat,Final Tendered Qty,Final Tendered Amt,Category
0.001539352,2,3,2,1,4,102701,102,102738,102,1.26,0,1
0.001539352,2,3,2,1,4,103207,102,102738,102,1.26,0,1
0.000474537,1,3,2,1,8.2,100204,603,102737,102,1,2,1
0.001435185,5,8,7,1,14.1,102738,102,102738,102,1,2,1
0.001238426,5,8,7,1,14.1,107527,102,102738,102,1,2,1
0.001238426,5,8,7,1,14.1,102596,102,102738,102,1,2,1
0.001238426,5,8,7,1,14.1,102702,102,102738,102,1,2,1
0.001238426,5,8,7,1,14.1,106557,102,102738,102,1,2,1
0.000543981,4,11,10,1,19.2,102933,102,102738,102,1,2,1
0.000543981,4,11,10,1,19.2,102698,102,102738,102,1,2,1
0.000520833,4,11,10,1,19.2,103078,201,102738,102,1,2,1
0.000509259,4,11,10,1,19.2,104358,211,102738,102,1,2,1
0.000810185,5,10,9,1,35.2,103964,1001,102737,102,1,2,1
0.000925926,5,10,9,1,35.2,104639,604,102737,102,1,2,1
0.000902778,5,10,9,1,35.2,106819,901,102737,102,1,2,1
0.000914352,5,10,9,1,35.2,104153,604,102737,102,1,2,1
0.000798611,5,10,9,1,35.2,102910,9801,102737,102,1,2,1
0.000601852,1,2,1,1,2,102738,102,102738,102,1,2,1
0.000613426,5,8,7,1,10.2,102701,102,102738,102,1,2,1
0.000613426,5,8,7,1,10.2,107732,102,102738,102,1,2,1
0.000613426,5,8,7,1,10.2,103207,102,102738,102,1,2,1
0.000613426,5,8,7,1,10.2,102697,102,102738,102,1,2,1
0.000613426,5,8,7,1,10.2,102702,102,102738,102,1,2,1
0.000405093,4,6,5,1,10,103207,102,102738,102,1,2,1
0.000405093,4,6,5,1,10,102700,102,102738,102,1,2,1
0.000405093,4,6,5,1,10,104209,102,102738,102,1,2,1
0.000405093,4,6,5,1,10,102702,102,102738,102,1,2,1
0.000462963,3,5,4,1,8,103207,102,102738,102,1,2,1
0.000462963,3,5,4,1,8,104209,102,102738,102,1,2,1
0.000462963,3,5,4,1,8,102700,102,102738,102,1,2,1
0.000335648,5,7,6,1,9.4,102702,102,102738,102,1,2,1
0.000335648,5,7,6,1,9.4,102701,102,102738,102,1,2,1
0.000335648,5,7,6,1,9.4,102700,102,102738,102,1,2,1
0.000335648,5,7,6,1,9.4,104208,102,102738,102,1,2,1
0.000335648,5,7,6,1,9.4,105313,102,102738,102,1,2,1
0.000208333,1,2,1,1,2,102738,102,102738,102,1,2,1
0.000740741,6,8,6,2,30.4,102309,104,102311,104,2,0.3,1
0.000868056,6,8,6,2,30.4,103980,104,102311,104,2,0.3,1
0.001261574,6,8,6,2,30.4,106484,101,102311,104,2,0.3,1
0.001134259,6,8,6,2,30.4,102311,104,102311,104,2,0.3,1
0.000613426,6,8,6,2,30.4,102309,104,102311,104,2,0.3,1
0.001458333,6,8,6,2,30.4,102309,104,102311,104,2,0.3,1
0.000543981,1,1,1,0,2.5,104210,101,104210,101,0.08,2.5,1
0.003333333,5,17,18,1,19.6,102738,102,106153,603,1,1.9,1
0.003217593,5,17,18,1,19.6,105313,102,106153,603,1,1.9,1
0.002407407,5,17,18,1,19.6,105313,102,106153,603,1,1.9,1
0.002037037,5,17,18,1,19.6,102699,102,106153,603,1,1.9,1
0.002037037,5,17,18,1,19.6,105313,102,106153,603,1,1.9,1
0.000428241,1,3,1,2,6.5,106248,211,106154,603,2,0,1
0.000868056,1,2,1,1,13.9,108000,208,103105,101,1.08,0.1,1
0.000833333,3,6,5,1,10,102701,102,102738,102,1,2,1
0.000949074,3,6,5,1,10,102738,102,102738,102,1,2,1
0.000833333,3,6,5,1,10,103207,102,102738,102,1,2,1
0.001863426,1,3,1,2,2.9,102313,106,101774,602,2,0.7,1
0.000243056,1,4,3,1,2.4,102697,102,102738,102,1.25,0,1
0.000150463,1,3,1,2,0.55,102737,102,107207,610,2,1,1
0.000902778,1,3,1,2,2.8,108016,809,100287,607,2,0.4,1
0.000405093,1,1,2,1,2,101975,605,107372,101,1,0.9,1
0.001481481,4,4,6,2,8,102700,102,102738,102,2.13,0,1
0.001331019,4,4,6,2,8,104209,102,102738,102,2.13,0,1
0.001296296,4,4,6,2,8,102700,102,102738,102,2.13,0,1
0.000752315,4,4,6,2,8,102700,102,102738,102,2.13,0,1
0.000289352,1,1,1,0,3.3,104143,608,103839,101,0.1,0,1
0.001481481,10,11,12,1,15.8,102738,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,102699,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,102700,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,102701,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,102933,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,103207,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,105313,102,102910,9801,1,0.2,1
0.000798611,10,11,12,1,15.8,107735,102,102910,9801,1,0.2,1
0.000740741,10,11,12,1,15.8,102910,9801,102910,9801,1,0.2,1
0.000104167,10,11,12,1,15.8,106153,603,102910,9801,1,0.2,1
0.00193287,3,4,5,1,25.4,104294,105,102910,9801,1,0.2,1
0.000416667,3,4,5,1,25.4,107464,609,102910,9801,1,0.2,1
0.000405093,3,4,5,1,25.4,106068,502,102910,9801,1,0.2,1
0.011238426,10,10,11,1,64.49,101291,901,102042,502,1,1.4,1
0.011215278,10,10,11,1,64.49,102113,902,102042,502,1,1.4,1
0.011203704,10,10,11,1,64.49,107467,902,102042,502,1,1.4,1
0.011145833,10,10,11,1,64.49,108001,211,102042,502,1,1.4,1
0.011157407,10,10,11,1,64.49,108001,211,102042,502,1,1.4,1
0.011111111,10,10,11,1,64.49,103456,201,102042,502,1,1.4,1
0.011087963,10,10,11,1,64.49,105708,201,102042,502,1,1.4,1
0.011064815,10,10,11,1,64.49,106034,201,102042,502,1,1.4,1
0.010821759,10,10,11,1,64.49,107456,204,102042,502,1,1.4,1
0.00775463,10,10,11,1,64.49,107456,204,102042,502,1,1.4,1
0.000347222,1,3,1,2,10.3,106421,204,103069,601,2,0,1
0.000925926,1,1,2,1,15.9,101939,1001,102910,9801,1,0.2,1
0.028912037,5,5,6,1,29.7,107798,503,102910,9801,1,0.2,1
0.028865741,5,5,6,1,29.7,104210,101,102910,9801,1,0.2,1
0.001087963,5,5,6,1,29.7,106261,101,102910,9801,1,0.2,1
0.000659722,5,5,6,1,29.7,107443,901,102910,9801,1,0.2,1
0.000601852,5,5,6,1,29.7,102307,104,102910,9801,1,0.2,1
0.000486111,1,1,2,1,1.3,108014,102,102738,102,1.08,2.7,1
0.001782407,2,2,4,2,5.67,102738,102,104917,102,2,1.8,1
0.001134259,2,2,4,2,5.67,107357,211,104917,102,2,1.8,1
0.000347222,3,6,5,1,11.5,102738,102,102738,102,1,2,1
0.000613426,3,6,5,1,11.5,106557,102,102738,102,1,2,1
0.000520833,3,6,5,1,11.5,102738,102,102738,102,1,2,1
0.000289352,1,1,2,1,17.4,102803,1001,102910,9801,1,0.2,1
0.000729167,1,2,1,1,4.4,100020,606,102910,9801,1,0.2,1
0.000451389,3,4,3,1,20.7,104342,201,102910,9801,1,0.2,1
0.000648148,3,4,3,1,20.7,104917,102,102910,9801,1,0.2,1
0.000509259,3,4,3,1,20.7,106255,108,102910,9801,1,0.2,1
0.003356481,2,2,4,2,3.51,106807,305,105225,204,2,2.8,1
0.003240741,2,2,4,2,3.51,103982,104,105225,204,2,2.8,1
0.003009259,7,12,13,1,15.6,103207,102,102738,102,1.4,2,1
0.002997685,7,12,13,1,15.6,102701,102,102738,102,1.4,2,1
0.002997685,7,12,13,1,15.6,102702,102,102738,102,1.4,2,1
0.002997685,7,12,13,1,15.6,102700,102,102738,102,1.4,2,1
0.002303241,7,12,13,1,15.6,102698,102,102738,102,1.4,2,1
0.002199074,7,12,13,1,15.6,103207,102,102738,102,1.4,2,1
0.002106481,7,12,13,1,15.6,102697,102,102738,102,1.4,2,1
0.000266204,2,2,3,1,12.45,106254,101,102910,9801,1,0.2,1
0.000138889,2,2,3,1,12.45,107990,101,102910,9801,1,0.2,1
0.000150463,2,2,3,1,9.7,107077,101,102910,9801,1,0.2,1
